"Time";"Consumption";"Grid consumption";"Grid backflow";"PV generation";"Battery charging";"Battery discharging"
"2022-03-25T22:00:00+01:00";28787.50341269841;28760.230039682538;0;0;0;0
"2022-03-25T22:30:00+01:00";27656.110632183914;27656.110632183914;0;0;0;0
"2022-03-25T23:00:00+01:00";27857.546190476183;27857.546190476183;0;0;0;0
"2022-03-25T23:30:00+01:00";27815.72496031746;27815.72496031746;0;0;0;0
"2022-03-26T00:00:00+01:00";28095.025833333326;28094.35563492063;0;0;0;0
"2022-03-26T00:30:00+01:00";28078.75638888889;28078.75638888889;0;0;0;0
"2022-03-26T01:00:00+01:00";60107.30517241379;60107.30517241379;0;0;30650.25449499179;0
"2022-03-26T01:30:00+01:00";41753.25365079365;41753.25365079365;0;0;12651.969150753974;0
"2022-03-26T02:00:00+01:00";28729.85448412698;28729.85448412698;0;0;218.8559761904762;3.147519999999999
"2022-03-26T02:30:00+01:00";28317.580992063493;28313.068492063492;0;0;0;0
"2022-03-26T03:00:00+01:00";27972.119682539676;27972.119682539676;0;0;0;0
"2022-03-26T03:30:00+01:00";28255.94317460318;28255.94317460318;0;0;0;0
"2022-03-26T04:00:00+01:00";28534.837684729067;28534.837684729067;0;0;0;0
"2022-03-26T04:30:00+01:00";28584.76654761905;28584.76654761905;0;0;0;0
"2022-03-26T05:00:00+01:00";28667.100595238102;28667.100595238102;0;0;0;0
"2022-03-26T05:30:00+01:00";28254.849563492065;28254.849563492065;0;0;0;0
"2022-03-26T06:00:00+01:00";28953.520396825388;28953.520396825388;0;0;0;0
"2022-03-26T06:30:00+01:00";29058.753864444443;29056.79638888889;0;1.9574755555555556;0;0
"2022-03-26T07:00:00+01:00";31418.09522577997;30695.612438423646;0;722.4827873563219;0;0
"2022-03-26T07:30:00+01:00";32727.590706349212;30106.683373015876;0;2620.907333333334;0;0
"2022-03-26T08:00:00+01:00";43880.68746031748;34969.94412698412;0;8910.743333333334;0;0
"2022-03-26T08:30:00+01:00";61795.892658730176;47738.64726190477;0;14057.245396825398;0;0
"2022-03-26T09:00:00+01:00";71705.55408730159;53599.53353174603;0;18106.02055555555;0;6.969210238095237
"2022-03-26T09:30:00+01:00";87304.21707717571;65114.110632183896;0;21636.377586206898;0;328.22608587848924
"2022-03-26T10:00:00+01:00";89016.81801587302;62557.072261904745;0;24640.619166666664;0;1844.9160779365084
"2022-03-26T10:30:00+01:00";88641.10571428572;62314.11543650794;0;26282.97361111111;0;11.964193333333334
